year_num;month_num;day_num;total_per_day;weekday;weekday_num;weeknumber;day_counter
2018;7;21;78;Sat;6;29;202
2018;7;22;90;Sun;7;29;203
2018;7;23;88;Mon;1;30;204
2018;7;24;99;Tue;2;30;205
2018;7;25;82;Wed;3;30;206
2018;7;26;83;Thu;4;30;207
2018;7;27;85;Fri;5;30;208
2018;7;28;87;Sat;6;30;209
2018;7;29;99;Sun;7;30;210
2018;7;30;103;Mon;1;31;211
2018;7;31;97;Tue;2;31;212
2018;8;1;124;Wed;3;31;213
2018;8;2;96;Thu;4;31;214
2018;8;3;90;Fri;5;31;215
2018;8;4;94;Sat;6;31;216
2018;8;5;105;Sun;7;31;217
2018;8;6;111;Mon;1;32;218
2018;8;7;101;Tue;2;32;219
2018;8;8;113;Wed;3;32;220
2018;8;9;102;Thu;4;32;221
2018;8;10;179;Fri;5;32;222
2018;8;11;191;Sat;6;32;223
2018;8;12;190;Sun;7;32;224
2018;8;13;292;Mon;1;33;225
2018;8;14;382;Tue;2;33;226
2018;8;15;398;Wed;3;33;227
2018;8;16;402;Thu;4;33;228
2018;8;17;418;Fri;5;33;229
2018;8;18;275;Sat;6;33;230
2018;8;19;259;Sun;7;33;231
2018;8;20;264;Mon;1;34;232
2018;8;21;215;Tue;2;34;233
2018;8;22;217;Wed;3;34;234
2018;8;23;342;Thu;4;34;235
2018;8;24;306;Fri;5;34;236
2018;8;25;169;Sat;6;34;237
2018;8;26;148;Sun;7;34;238
2018;8;27;345;Mon;1;35;239
2018;8;28;326;Tue;2;35;240
2018;8;29;357;Wed;3;35;241
2018;8;30;408;Thu;4;35;242
2018;8;31;320;Fri;5;35;243
2018;9;1;160;Sat;6;35;244
2018;9;2;176;Sun;7;35;245
2018;9;3;312;Mon;1;36;246
2018;9;4;358;Tue;2;36;247
2018;9;5;345;Wed;3;36;248
2018;9;6;359;Thu;4;36;249
2018;9;7;339;Fri;5;36;250
2018;9;8;149;Sat;6;36;251
2018;9;9;159;Sun;7;36;252
2018;9;10;407;Mon;1;37;253
2018;9;11;440;Tue;2;37;254
2018;9;12;349;Wed;3;37;255
2018;9;13;382;Thu;4;37;256
2018;9;14;345;Fri;5;37;257
2018;9;15;139;Sat;6;37;258
2018;9;16;119;Sun;7;37;259
2018;9;17;435;Mon;1;38;260
2018;9;18;408;Tue;2;38;261
2018;9;19;427;Wed;3;38;262
2018;9;20;509;Thu;4;38;263
2018;9;21;457;Fri;5;38;264
2018;9;22;144;Sat;6;38;265
2018;9;23;135;Sun;7;38;266
2018;9;24;407;Mon;1;39;267
2018;9;25;409;Tue;2;39;268
2018;9;26;448;Wed;3;39;269
2018;9;27;487;Thu;4;39;270
2018;9;28;380;Fri;5;39;271
2018;9;29;152;Sat;6;39;272
2018;9;30;185;Sun;7;39;273
2018;10;1;438;Mon;1;40;274
2018;10;2;437;Tue;2;40;275
2018;10;3;372;Wed;3;40;276
2018;10;4;480;Thu;4;40;277
2018;10;5;433;Fri;5;40;278
2018;10;6;159;Sat;6;40;279
2018;10;7;157;Sun;7;40;280
2018;10;8;450;Mon;1;41;281
2018;10;9;420;Tue;2;41;282
2018;10;10;407;Wed;3;41;283
2018;10;11;423;Thu;4;41;284
2018;10;12;351;Fri;5;41;285
2018;10;13;175;Sat;6;41;286
2018;10;14;171;Sun;7;41;287
2018;10;15;376;Mon;1;42;288
2018;10;16;405;Tue;2;42;289
2018;10;17;405;Wed;3;42;290
2018;10;18;402;Thu;4;42;291
2018;10;19;319;Fri;5;42;292
2018;10;20;173;Sat;6;42;293
2018;10;21;171;Sun;7;42;294
2018;10;22;795;Mon;1;43;295
2018;10;23;888;Tue;2;43;296
2018;10;24;786;Wed;3;43;297
2018;10;25;922;Thu;4;43;298
2018;10;26;873;Fri;5;43;299
2018;10;27;390;Sat;6;43;300
2018;10;28;372;Sun;7;43;301
2018;10;29;847;Mon;1;44;302
2018;10;30;927;Tue;2;44;303
2018;10;31;683;Wed;3;44;304
2018;11;1;812;Thu;4;44;305
2018;11;2;842;Fri;5;44;306
2018;11;3;338;Sat;6;44;307
2018;11;4;367;Sun;7;44;308
2018;11;5;859;Mon;1;45;309
2018;11;6;830;Tue;2;45;310
2018;11;7;862;Wed;3;45;311
2018;11;8;811;Thu;4;45;312
2018;11;9;861;Fri;5;45;313
2018;11;10;413;Sat;6;45;314
2018;11;11;387;Sun;7;45;315
2018;11;12;934;Mon;1;46;316
2018;11;13;900;Tue;2;46;317
2018;11;14;903;Wed;3;46;318
2018;11;15;904;Thu;4;46;319
2018;11;16;787;Fri;5;46;320
2018;11;17;437;Sat;6;46;321
2018;11;18;489;Sun;7;46;322
2018;11;19;931;Mon;1;47;323
2018;11;20;967;Tue;2;47;324
2018;11;21;914;Wed;3;47;325
2018;11;22;917;Thu;4;47;326
2018;11;23;773;Fri;5;47;327
2018;11;24;376;Sat;6;47;328
2018;11;25;377;Sun;7;47;329
2018;11;26;839;Mon;1;48;330
2018;11;27;848;Tue;2;48;331
2018;11;28;895;Wed;3;48;332
2018;11;29;935;Thu;4;48;333
2018;11;30;798;Fri;5;48;334
2018;12;1;404;Sat;6;48;335
2018;12;2;443;Sun;7;48;336
2018;12;3;936;Mon;1;49;337
2018;12;4;874;Tue;2;49;338
2018;12;5;815;Wed;3;49;339
2018;12;6;893;Thu;4;49;340
2018;12;7;852;Fri;5;49;341
2018;12;8;445;Sat;6;49;342
