week;daily_av_that_week;av_temp_that_week
1;590;3
2;720;3
3;659;3
4;548;2
5;591;1
6;656;2
7;634;4
8;686;5
9;685;3
10;652;4
11;629;4
12;536;6
13;499;5
14;512;6
15;449;6
16;389;8
17;448;10
18;509;9
19;452;11
20;462;11
21;523;13
22;474;14
23;540;16
24;554;17
25;539;18
26;482;19
27;409;17
28;343;18
29;319;19
30;298;19
31;312;19
32;333;19
33;400;19
34;482;18
35;557;17
36;543;16
37;564;15
38;562;14
39;592;13
40;578;12
41;570;12
42;525;11
43;656;11
44;673;9
45;722;8
46;740;7
47;763;6
48;740;4
49;747;4
50;740;4
51;646;3
52;493;4
